Artist,Song,Row Type,Status,Current Catalog Entry,Qualified Next Wave Addition,Active Catalog Gain This Wave,Song or Source ID,Format,Key,Chord Count,Transpose Checks,Reason,Git Payload Path,Source Archive,Source Path,Wave ID
ABBA,Gimme! Gimme! Gimme!,CANDIDATE_SOURCE,PENDING_PARSE_AND_QA,0,0,0,d246b023ca525cf7b7b3239f6d465badc845cb2f1e6222d690681ef43775a0eb,gp4,,,,Raw source parsing not executed,,GuitarPro_Tabs.rar,GuitarPro_Tabs/Abba - Gimme! Gimme! Gimme!.gp4,GFB-V6.0-CATALOG-R03
ABBA,Just Like That,CANDIDATE_SOURCE,PENDING_PARSE_AND_QA,0,0,0,99fd6a1a16e290c64d72ba0b19cc085e2182e0c57bb29fe127ff9ee6b1ce2987,gp3,,,,Raw source parsing not executed,,GuitarPro_Tabs.rar,GuitarPro_Tabs/Abba - Just Like That.gp3,GFB-V6.0-CATALOG-R03
ABBA,My Love My Life,CANDIDATE_SOURCE,PENDING_PARSE_AND_QA,0,0,0,2f077aa25e64628c27b39da49728ea42c988c539f0679ee0d116effdac8e8f76,gp3,,,,Raw source parsing not executed,,GuitarPro_Tabs.rar,GuitarPro_Tabs/Abba - My Love My Life.gp3,GFB-V6.0-CATALOG-R03
AC|DC,AC/DC - Are You Ready,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,6fa701b37d50642e59228728eec9789a9fabb07cac8f97ebd3a7867da3c3955f,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,AC/DC - Razor's Edge,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,23c10a8ba27827f5d3854daab0b27ca137406cfb5f3354b30763e69621737c80,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,"Baby, Please Don't Go",CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,73f76c2e2027fbd902acb064c8364708ff86fc593fc0ed69a90880fbf4c74e51,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Back In Black,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,1215ce0bcfb6b3ef168e3ac0f973012a90441dc52b9911ac73a16be1f3848136,gpx,E,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Back In Black *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,400367be89871fb31cc6f56515968c654c6e5a6df3315f6beb1babccba42c47c,gp3,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Beating Around The Bush,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,f58fb0f1973bf195c572a1516e8308a38ecd70d7a8ee21c9587eee7e97620bac,gpx,E♭,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Big Gun,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,30c8830262b6483e38cd3238a286599f26225c0a3532d98df5051ece3d86dfcd,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Big Jack,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,87f86442f0615bcb1c07e82ae0ec0f78367d9db92dea60de52b1cbd29079fef8,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Come And Get It,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,208809cbcac4df2e0ca04c69bd0b1022a832458bcb9ddb83002d6c1dc431c018,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Decibel,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,d25497629b16d18cf160e3297adfb9a5344e3c706c527ac53a67cfd46f6b2aa6,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Demon Fire,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,8c3d24d18335dbec12115ff49bbc2b4185f749e4a9ad7e6eb1f16e8f5b5ad4be,gpx,E,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,For Those About To Rock,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,f91491fad7b35536178b7eb6d0285d2d2c3d970b4dd105e4ef25a5deca7392d3,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Girls Got Rhythm *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,0bb7672fa50edcf31efce9472d3446b53ed7739b92ddb8fcd2c19b5736bbdd0f,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Given The Dog A Bone,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,765abc93749ac646ab03a05834a04c534f7c3aaf6691cab1a2a906ce838da3cd,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,gone shootin,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,11009f355bac43c9bc926fd11d39e2f0c81f2bae3f83467afe9bb71e23a44740,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Hard As A Rock *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,09a832cb21fb4ec046bc0df81262c0a8b8102717d5f81cb2ce74a98dc14999fe,gpx,B,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Have A Drink On Me,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,517322794473a4a135b1e11393444842e6712c1c82eb3bbcd972a507b13e17a1,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Heatseeker,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,9113084a721865eeede774e9045c249f190ddbf85e065201580a23b579360a4e,gpx,B♭,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Hell Ain't a Bad Place To Be,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,49c2901bef8bad093785a1d1bbb9b3a0963a6bd9ec446f08ea99ebbd0302c8b0,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Hell's Bells,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,287a955d0a215ff0a7aff7ed329ba96341a0738d9b8808725d21c58e504d0ab7,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,High Voltage *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,65f062b4ae51a393233a81eda68a592f80ae69e2426e75564c07417e012d133f,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Highway to Hell *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,547c661879860e03dccf5fe90bb447af34eadce6417d15e7d62ede979bea5e8c,gpx,B,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,If You Want Blood,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,117c52eeffbba05e7c3833bc737e5640b1ffe1a7b7bc1835d61b7323812b47f0,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Jailbreak,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,c7d04fd6e0228f65cacb61177b2af9f1cb006fedeb4a260ea88621772154444a,gpx,E,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Kick You When You're Down,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,4114068001520b04df10b6fb571d5d981bf1fc4ebf333a6613ce7187d8154b44,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Kissin Dynamite,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,d40110f67ab2ad29e8d815c3e85b02d6b91ca94d748009928dc1c48d346bb8c2,gpx,B,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Let There Be Rock,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,97f8d3f8ae9a051dd45e99370242ad5b6b40916f8fa8384a70e1d95571042ab5,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Live Wire,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,3ff5712196b8bec1bfd9785f555592af030c2d97ad4a67d3915fb16622758121,gpx,D,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Moneytalks *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,21516a6773095ede6b4e9aed62231d827c9677eefb375236cfe8283b36ae108c,gpx,G,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Night Prowler,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,bba0d9076198d7fefbacdadfaacb1668f3405f7ed665ed11d53b9cbfa134abab,gpx,A♭,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Play Ball,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,42e66e92fffa3ebc4f4a7fe2bd1c0ee2b9902873a6f2023676afb80512423279,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Problem Child,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,58de0000d4d007970359aa99c22f763246557ea3c9de9a3d1396a05020c49cbb,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Realize,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,6d3c0d675de5969013c53f2edc45f68bae3d6734f4df16fc191bbe7a6d66c222,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Ride On,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,c3dd707a5ec76886a3bd053223e4ba0ad0a7fda0bb39723bb7c1fe32f52ca9bf,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Riff Raff,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,bf19b7e6dd350dd1cb1f75edbcbeab306a53122d8d8e387fa156f7abac5f3823,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Rock 'n Roll Damnation,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,2cb12db7a892627098bc2f83d19790b3ef022ddd15b60e1dbb9a134ee274e6b1,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Rock And Roll Ain't Noise Pollution *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,39acf64aa0b3efba67da2d724e31eed442e36f5d862dabb077cd0dd30e272fb0,gpx,E,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Rock n Roll Train,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,d33e86bdfdfe3af8cedd2102ea5f291be52a2ece49d81cc9a9d6cf037aa94db8,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Rock or Bust,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,30bea8735752a3e1a2ba791a1433ff3ef0c666cdb0ac2ae90d0f86f5360531a4,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Shoot To Thrill *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,e9230d4638bafa0f8383e740f7407885d851e81152027c40a4b40c217ab5ebbf,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Shot Down In Flames *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,07bb508dc0674168cdc18583404d9f1ccaa2905d293a1e95cb71ae96cce27430,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Sin City *alt,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,791126f22ee264d72fed2f3753f7a2a605c9de61d661df1e664e6e03a87fe591,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Skies On Fire,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,b032be1cb157e44664fb88ff40a5bfe82abfdcd60bfa10c4110d26665e931854,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Some Sin for Nuthin',CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,79fa8a3efe7bf19236782d4bce98d61d22bebc552bd7511510325d7d2769058e,gpx,E,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
AC|DC,Stormy May Day Live,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,b59b129c444b25bd1c64df2d462c1d6b696248f77a2d6431005888b896d6e898,gpx,G,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
